income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Lower middle income,u37,6,2.5,3.0,3.15,3.23,3.0,3.41,3.19,3.42,3.5
Lower middle income,u37,4.7,2.5,2.75,3.13,3.33,0.0,3.41,3.18,3.42,0.0
Lower middle income,U30,6,2.75,3.21,3.56,0.0,0.0,3.41,3.26,0.0,0.0
Upper middle income,U30,5,3.06,3.25,3.5,3.5,0.0,3.41,3.34,3.49,0.0
Lower middle income,u37,8,4.0,4.0,4.0,0.0,0.0,3.41,3.86,0.0,0.0
Upper middle income,U30,5.5,3.61,3.88,4.0,4.0,0.0,3.41,3.79,3.8,0.0
Upper middle income,U30,5.5,3.55,3.5,3.88,0.0,0.0,3.41,3.54,0.0,0.0
Lower middle income,U30,4.5,3.5,3.25,3.38,3.5,0.0,3.41,3.31,3.58,0.0
Lower middle income,U30,5.3,3.0,3.13,3.63,3.5,0.0,3.41,3.31,3.48,0.0
Upper middle income,U30,6,3.6,3.5,3.5,0.0,0.0,3.41,3.48,0.0,0.0
Upper middle income,U30,6.5,3.29,3.2,3.4,3.63,0.0,3.41,3.34,3.46,0.0
Lower middle income,U30,5.5,4.0,3.2,3.3,3.25,0.0,3.41,3.28,3.5,0.0
Lower middle income,U30,5.3,3.0,3.4,3.2,3.25,0.0,3.41,3.43,3.5,0.0
Lower middle income,U30,5.5,4.0,3.25,3.38,3.5,3.5,3.41,3.3,3.67,3.5
Lower middle income,u37,,3.5,3.0,3.25,4.0,3.0,3.41,3.19,3.49,3.5
Upper middle income,u37,5.5,3.53,3.13,3.38,0.0,0.0,3.41,3.29,0.0,0.0
Lower middle income,U30,6,3.0,3.61,3.29,3.5,0.0,3.41,3.55,3.61,0.0
Upper middle income,U25,6.5,3.51,3.88,3.88,3.5,0.0,3.41,3.74,3.72,0.0
Lower middle income,U30,5,3.0,2.75,3.0,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U30,4.7,3.29,3.0,3.58,3.25,3.5,3.41,3.21,3.47,3.5
Upper middle income,u37,6.5,3.5,3.88,3.85,4.0,0.0,3.41,3.76,3.73,0.0
Upper middle income,U30,5,2.84,3.88,3.63,0.0,0.0,3.41,3.73,0.0,0.0
Upper middle income,U30,3.5,3.9,2.63,3.0,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U44,,3.27,3.75,4.0,3.67,3.83,3.41,3.7,3.81,3.5
Lower middle income,u37,,2.5,3.8,4.0,3.83,4.0,3.41,3.7,3.64,3.5
Lower middle income,U44,,2.5,3.8,3.93,3.5,2.5,3.41,3.71,3.71,3.5
Upper middle income,U44,,3.02,3.13,3.38,3.67,3.0,3.41,3.32,3.52,3.5
Upper middle income,U44,,2.61,3.75,4.0,3.83,3.89,3.41,3.69,3.76,3.5
Lower middle income,u37,,3.0,3.4,3.57,3.75,3.5,3.41,3.44,3.51,3.5
Lower middle income,u37,5.3,4.0,3.35,3.27,0.0,0.0,3.41,3.41,0.0,0.0
Lower middle income,U30,4.9,4.0,3.68,3.54,0.0,0.0,3.41,3.55,0.0,0.0
Lower middle income,u37,,3.0,3.8,3.86,3.67,4.0,3.41,3.7,3.6,3.5
Lower middle income,U44,,2.5,3.8,3.64,3.67,3.5,3.41,3.68,3.67,3.5
Lower middle income,U30,5,2.63,2.63,2.88,0.0,0.0,3.41,3.18,0.0,0.0
Lower middle income,u37,4,2.36,2.88,3.15,3.12,0.0,3.41,3.03,3.42,0.0
Upper middle income,u37,5.8,2.59,3.5,3.5,0.0,0.0,3.41,3.47,0.0,0.0
Lower middle income,U44,4.6,2.75,2.75,2.77,3.0,0.0,3.41,2.98,3.43,0.0
Lower middle income,U30,6.4,4.0,3.6,3.8,3.88,0.0,3.41,3.5,3.55,0.0
Upper middle income,u37,6,2.61,3.25,3.13,3.5,0.0,3.41,3.34,3.5,0.0
Upper middle income,u37,5.2,2.88,3.27,3.13,3.5,0.0,3.41,3.4,3.57,0.0
Upper middle income,U30,5.4,3.16,3.5,3.5,3.75,0.0,3.41,3.52,3.56,0.0
Upper middle income,U30,3.8,3.0,3.0,2.5,3.1,0.0,3.41,2.66,3.42,0.0
Upper middle income,U30,6,3.31,3.6,3.8,0.0,0.0,3.41,3.56,0.0,0.0
Lower middle income,U30,5.5,3.62,3.83,4.0,0.0,0.0,3.41,3.72,0.0,0.0
Lower middle income,U30,5.3,3.24,3.0,3.25,0.0,0.0,3.41,3.22,0.0,0.0
Lower middle income,U30,,3.0,2.9,2.75,0.0,0.0,3.41,2.9,0.0,0.0
Lower middle income,U30,,3.16,3.75,3.63,4.0,0.0,3.41,3.65,3.84,0.0
Lower middle income,U30,,3.0,3.5,3.33,3.5,3.0,3.41,3.39,3.61,3.5
Upper middle income,U30,5,2.84,2.88,3.27,3.2,0.0,3.41,3.19,3.42,0.0
Upper middle income,U30,6,2.88,3.6,3.3,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,U30,5.7,1.0,2.8,3.2,3.88,0.0,3.41,3.18,3.42,0.0
Upper middle income,U25,4.7,3.45,3.38,3.88,0.0,0.0,3.41,3.39,0.0,0.0
Lower middle income,U25,6,3.0,3.6,3.7,0.0,0.0,3.41,3.47,0.0,0.0
Lower middle income,U30,5.5,3.18,3.88,3.89,4.0,0.0,3.41,3.76,3.86,0.0
Upper middle income,U25,5.3,2.87,3.88,4.0,4.0,0.0,3.41,3.77,3.88,0.0
Lower middle income,U30,5,1.0,2.9,3.2,3.5,0.0,3.41,3.18,3.42,0.0
Upper middle income,U30,5.4,3.63,3.3,3.5,3.5,0.0,3.41,3.39,3.54,0.0
Lower middle income,U30,,3.0,2.88,3.0,3.0,0.0,3.41,3.09,3.43,0.0
Upper middle income,U30,5.8,3.56,3.73,4.0,4.0,0.0,3.41,3.72,3.72,0.0
Lower middle income,u37,4.8,2.75,2.75,2.5,3.0,3.5,3.41,3.18,3.42,3.5
Lower middle income,u37,4.8,3.0,2.75,3.0,3.5,4.0,3.41,3.18,3.42,3.5
Upper middle income,u37,,2.4,3.5,3.75,3.67,3.5,3.41,3.51,3.58,3.5
Low income,u37,6,3.0,3.56,2.85,3.75,3.0,3.41,3.6,3.6,3.5
Upper middle income,u37,5.2,2.58,2.88,3.13,4.0,0.0,3.41,3.19,3.51,0.0
Upper middle income,U30,3.7,3.12,2.63,3.0,3.0,0.0,3.41,3.18,3.44,0.0
Lower middle income,U30,,3.0,3.5,3.5,3.5,0.0,3.41,3.5,3.54,0.0
Upper middle income,U25,,3.62,3.63,3.3,3.75,0.0,3.41,3.36,3.62,0.0
Lower middle income,u37,,3.5,3.5,3.0,4.0,0.0,3.41,3.53,3.66,0.0
Upper middle income,U25,5.4,3.08,3.5,3.28,3.0,0.0,3.41,3.47,3.73,0.0
Lower middle income,U30,4.9,3.0,3.13,3.0,3.5,3.25,3.41,3.27,3.48,3.5
Lower middle income,u37,5.5,3.0,3.83,3.88,4.0,0.0,3.41,3.77,3.88,0.0
Upper middle income,U30,4.8,3.45,3.0,3.13,3.5,0.0,3.41,3.22,3.48,0.0
Lower middle income,U30,5.7,2.74,3.5,3.39,0.0,0.0,3.41,3.47,0.0,0.0
Low income,U30,7.5,3.55,4.0,4.0,0.0,0.0,3.41,3.91,0.0,0.0
Low income,U30,6,3.79,3.5,3.73,3.5,0.0,3.41,3.57,3.71,0.0
Lower middle income,U30,6,3.92,2.7,3.25,0.0,0.0,3.41,3.18,0.0,0.0
Lower middle income,U30,,3.85,4.0,3.83,0.0,0.0,3.41,3.81,0.0,0.0
Upper middle income,U30,6.5,3.67,3.9,3.8,0.0,0.0,3.41,3.71,0.0,0.0
Lower middle income,U30,5,4.0,3.27,3.25,3.5,0.0,3.41,3.32,3.52,0.0
Lower middle income,u37,,4.0,3.0,3.25,4.0,0.0,3.41,3.21,3.48,0.0
Lower middle income,U30,5.7,3.5,3.0,3.46,3.5,0.0,3.41,3.19,3.42,0.0
Lower middle income,u37,5.6,4.0,3.58,3.29,3.5,0.0,3.41,3.54,3.51,0.0
Lower middle income,u37,5,2.94,3.0,3.13,3.5,3.5,3.41,3.22,3.45,3.5
Upper middle income,U30,4.5,3.27,3.38,3.5,0.0,0.0,3.41,3.45,0.0,0.0
Upper middle income,U30,6,2.42,3.2,3.1,3.5,0.0,3.41,3.29,3.46,0.0
Lower middle income,U30,4.9,3.0,3.38,3.13,0.0,0.0,3.41,3.35,0.0,0.0
Lower middle income,U30,5.6,3.0,3.75,3.88,4.0,0.0,3.41,3.67,3.7,0.0
Lower middle income,U30,5.4,3.5,3.5,3.63,3.83,3.86,3.41,3.53,3.57,3.5
Lower middle income,U30,5.6,2.5,3.67,3.44,3.33,3.5,3.41,3.59,3.65,3.5
Lower middle income,U30,5.4,2.5,3.17,3.56,3.5,3.83,3.41,3.33,3.5,3.5
Lower middle income,U30,6.2,3.0,4.0,3.56,3.67,3.92,3.41,3.8,3.72,3.5
Lower middle income,u37,6,3.5,3.67,3.67,4.0,3.92,3.41,3.57,3.58,3.5
Lower middle income,U30,5.5,3.0,2.63,3.0,3.25,3.0,3.41,3.18,3.42,3.5
Lower middle income,U25,6.5,4.0,2.6,2.88,3.6,0.0,3.41,3.18,3.42,0.0
Lower middle income,U30,5.3,3.0,3.04,3.45,3.0,0.0,3.41,3.24,3.5,0.0
Lower middle income,U44,5,2.0,3.5,3.71,0.0,0.0,3.41,3.47,0.0,0.0
Upper middle income,U30,4.4,3.5,3.43,3.7,0.0,0.0,3.41,3.46,0.0,0.0
Lower middle income,U30,5.8,3.5,3.0,3.25,4.0,3.67,3.41,3.2,3.45,3.5
Lower middle income,u37,5.7,2.5,3.83,3.39,3.5,3.42,3.41,3.66,3.6,3.5
Lower middle income,U44,5.5,3.5,3.5,3.56,3.83,3.83,3.41,3.52,3.66,3.5
Lower middle income,U44,5.5,3.5,3.17,3.58,3.5,3.45,3.41,3.38,3.52,3.5
Lower middle income,U30,6,2.5,3.33,3.56,3.17,3.83,3.41,3.37,3.48,3.5
Lower middle income,U44,5.5,4.0,3.5,3.75,3.25,3.95,3.41,3.57,3.64,3.5
Upper middle income,u37,5.7,2.59,3.81,3.69,3.25,3.7,3.41,3.71,3.72,3.5
Lower middle income,u37,6,3.0,4.0,3.94,0.0,0.0,3.41,3.8,0.0,0.0
Lower middle income,U30,3.8,3.28,3.0,3.0,0.0,0.0,3.41,3.19,0.0,0.0
Lower middle income,U30,5.6,1.0,3.0,2.7,3.38,0.0,3.41,3.21,3.42,0.0
Upper middle income,U30,6.3,3.37,3.7,3.2,0.0,0.0,3.41,3.62,0.0,0.0
Lower middle income,U30,6,3.5,3.93,3.68,4.0,0.0,3.41,3.76,3.81,0.0
Lower middle income,U30,5.5,2.98,3.27,4.0,3.43,0.0,3.41,3.4,3.52,0.0
Low income,U30,7.5,3.89,3.38,4.0,3.5,0.0,3.41,3.52,3.81,0.0
Lower middle income,U30,4.7,3.5,3.38,3.5,3.5,0.0,3.41,3.4,3.51,0.0
Lower middle income,U30,6,3.5,3.75,3.5,3.5,0.0,3.41,3.62,3.6,0.0
Lower middle income,u37,,3.0,3.25,3.79,3.25,0.0,3.41,3.22,3.45,0.0
Upper middle income,U25,5.2,3.6,3.69,3.58,3.5,3.2,3.41,3.64,3.64,3.5
Lower middle income,u37,,3.0,3.9,4.0,3.67,3.13,3.41,3.73,3.77,3.5
Lower middle income,U30,5,2.75,3.22,4.0,3.13,0.0,3.41,3.32,3.47,0.0
Lower middle income,U30,,3.0,3.13,2.63,3.5,2.88,3.41,3.27,3.51,3.5
Lower middle income,U30,6,3.0,3.7,3.7,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,U30,5.5,2.75,3.2,3.0,3.0,0.0,3.41,3.29,3.47,0.0
Lower middle income,U30,6,3.04,3.63,3.38,4.0,4.0,3.41,3.53,3.76,3.5
Lower middle income,u37,,3.0,3.63,3.33,3.5,3.5,3.41,3.58,3.63,3.45
Upper middle income,U30,4.5,3.93,4.0,4.0,4.0,4.0,3.41,3.86,3.79,3.5
Lower middle income,u37,5.2,3.5,3.54,3.77,3.5,0.0,3.41,3.53,3.6,0.0
Upper middle income,U30,5,3.01,3.38,3.5,3.63,4.0,3.41,3.48,3.56,3.5
Low income,U30,6.2,3.33,4.0,3.5,4.0,3.5,3.41,3.89,3.83,3.5
Upper middle income,U30,5,3.34,3.63,3.75,0.0,0.0,3.41,3.53,0.0,0.0
Lower middle income,u37,5.7,2.5,2.81,3.0,3.5,0.0,3.41,3.18,3.44,0.0
Upper middle income,U30,4.8,2.7,3.1,3.6,0.0,0.0,3.41,3.23,0.0,0.0
Lower middle income,U30,5,2.5,3.63,3.13,0.0,0.0,3.41,3.55,0.0,0.0
Upper middle income,U30,5,3.06,3.4,3.31,0.0,0.0,3.41,3.38,0.0,0.0
Lower middle income,U30,6.5,3.45,3.77,3.77,0.0,0.0,3.41,3.68,0.0,0.0
Lower middle income,U30,5.5,4.0,3.38,3.13,3.5,0.0,3.41,3.44,3.55,0.0
Lower middle income,U44,5.2,3.5,2.46,3.0,3.22,3.5,3.41,3.18,3.42,3.5
Upper middle income,U30,,3.28,3.88,3.75,3.5,3.83,3.41,3.73,3.79,3.5
Upper middle income,U30,5.1,3.62,3.0,3.25,3.5,0.0,3.41,3.24,3.48,0.0
Lower middle income,U30,5.5,2.5,3.2,3.25,3.5,0.0,3.41,3.33,3.45,0.0
Upper middle income,U30,5.4,3.12,3.0,3.0,3.5,0.0,3.41,3.25,3.5,0.0
Lower middle income,u37,5.5,2.5,3.1,3.13,3.3,0.0,3.41,3.28,3.43,0.0
Upper middle income,u37,,3.13,3.63,3.88,3.83,3.33,3.41,3.62,3.62,3.5
Upper middle income,U30,5.5,3.82,3.96,3.92,4.0,0.0,3.41,3.85,3.83,0.0
Lower middle income,u37,4,3.0,2.89,2.92,0.0,0.0,3.41,3.03,0.0,0.0
Upper middle income,U30,6.2,3.06,3.3,3.7,3.5,0.0,3.41,3.4,3.58,0.0
Upper middle income,U30,5,3.12,3.13,3.38,0.0,0.0,3.41,3.26,0.0,0.0
Upper middle income,U30,4.5,3.47,3.13,3.0,4.0,3.5,3.41,3.25,3.55,3.5
Upper middle income,u37,,2.59,3.38,3.5,3.33,3.61,3.41,3.46,3.53,3.5
Upper middle income,U30,5.5,3.11,3.41,3.13,4.0,0.0,3.41,3.47,3.62,0.0
Lower middle income,u37,6,3.5,3.88,3.91,0.0,0.0,3.41,3.75,0.0,0.0
Lower middle income,U30,,2.52,3.4,3.6,3.63,0.0,3.41,3.43,3.57,0.0
Lower middle income,U30,5.6,3.5,3.0,3.58,3.5,3.7,3.41,3.26,3.46,3.5
Lower middle income,u37,5.4,3.5,2.83,3.5,3.25,3.45,3.41,3.19,3.46,3.5
Lower middle income,U30,5.5,3.04,3.88,4.0,4.0,0.0,3.41,3.8,3.89,0.0
Upper middle income,u37,,2.75,3.27,3.38,3.75,0.0,3.41,3.3,3.46,0.0
Upper middle income,U30,5.8,3.7,3.4,3.6,0.0,0.0,3.41,3.43,0.0,0.0
Lower middle income,U30,5.5,3.5,3.63,3.42,4.0,0.0,3.41,3.61,3.7,0.0
Upper middle income,U30,6,3.28,3.6,3.7,3.5,0.0,3.41,3.53,3.55,0.0
Lower middle income,U30,5.6,3.0,3.5,3.75,3.75,3.65,3.41,3.53,3.65,3.5
Lower middle income,u37,6,2.0,3.5,3.67,4.0,3.75,3.41,3.5,3.57,3.5
Lower middle income,u37,5.7,3.5,3.5,3.67,3.5,3.6,3.41,3.5,3.54,3.5
Lower middle income,u37,5.7,3.5,3.33,3.58,3.25,3.8,3.41,3.4,3.5,3.5
Lower middle income,U30,6,3.8,4.0,3.75,3.5,3.75,3.41,3.83,3.74,3.5
Lower middle income,U44,6,3.0,3.5,3.75,3.5,3.65,3.41,3.5,3.53,3.53
Lower middle income,u37,6,3.0,3.75,3.38,3.5,3.5,3.41,3.6,3.63,3.5
Lower middle income,u37,6,3.45,3.5,3.58,3.5,3.75,3.41,3.52,3.58,3.5
Lower middle income,U30,,3.0,3.38,3.33,3.5,4.0,3.41,3.31,3.57,3.5
Lower middle income,U44,,3.5,3.63,3.88,3.83,3.83,3.41,3.6,3.63,3.5
Lower middle income,U30,4.5,3.0,2.5,2.91,3.5,0.0,3.41,3.05,3.42,0.0
Lower middle income,U30,6,2.68,3.0,3.37,3.0,0.0,3.41,3.19,3.42,0.0
Lower middle income,u37,5.5,3.0,3.23,3.23,0.0,0.0,3.41,3.31,0.0,0.0
Lower middle income,U30,6.2,3.5,3.63,3.5,3.5,0.0,3.41,3.61,3.68,0.0
Lower middle income,U30,5.5,3.29,3.2,3.25,0.0,0.0,3.41,3.33,0.0,0.0
Upper middle income,U30,5,3.79,3.25,3.5,3.5,0.0,3.41,3.33,3.56,0.0
Lower middle income,u37,6.3,2.51,3.75,3.88,4.0,0.0,3.41,3.64,3.85,0.0
Lower middle income,U30,,3.4,3.3,3.29,3.5,3.5,3.41,3.39,3.47,3.5
Lower middle income,U30,,2.78,3.4,3.14,3.58,3.0,3.41,3.4,3.49,3.5
Lower middle income,U44,5,3.0,2.8,3.0,3.38,0.0,3.41,3.18,3.42,0.0
Lower middle income,u37,5.5,2.5,3.0,3.38,0.0,0.0,3.41,3.22,0.0,0.0
Lower middle income,u37,4.5,3.5,3.38,3.63,3.5,0.0,3.41,3.43,3.56,0.0
Upper middle income,u37,5.7,3.42,3.67,3.96,3.75,0.0,3.41,3.61,3.63,0.0
Lower middle income,u37,,3.0,2.5,3.13,3.0,0.0,3.41,3.18,3.42,0.0
Lower middle income,u37,4.5,2.5,3.0,3.2,3.33,0.0,3.41,3.18,3.42,0.0
Upper middle income,U30,6,2.75,3.19,3.62,3.5,3.2,3.41,3.31,3.51,3.5
Lower middle income,U30,6,4.0,3.0,3.25,4.0,0.0,3.41,3.2,3.46,0.0
Lower middle income,U30,5.7,3.5,3.59,3.25,3.75,0.0,3.41,3.56,3.57,0.0
Lower middle income,U30,4.8,3.62,2.8,2.9,3.2,0.0,3.41,3.18,3.42,0.0
Upper middle income,U30,4.7,3.56,3.64,3.65,4.0,0.0,3.41,3.56,3.73,0.0
Lower middle income,U30,,3.5,3.88,3.88,4.0,0.0,3.41,3.78,3.8,0.0
Low income,U30,6,4.0,3.38,3.75,4.0,0.0,3.41,3.46,3.7,0.0
Upper middle income,U30,5.4,2.69,3.38,3.5,0.0,0.0,3.41,3.46,0.0,0.0
Upper middle income,U44,5.5,2.41,2.88,3.05,3.0,3.5,3.41,3.2,3.47,3.5
Lower middle income,U44,6,3.0,3.04,3.67,3.7,0.0,3.41,3.22,3.45,0.0
Upper middle income,U25,5,3.12,3.75,4.0,0.0,0.0,3.41,3.62,0.0,0.0
Low income,u37,7.3,3.5,3.88,4.0,0.0,0.0,3.41,3.89,0.0,0.0
Lower middle income,U30,,3.5,4.0,3.7,0.0,0.0,3.41,3.76,0.0,0.0
Upper middle income,u37,4.4,2.82,3.13,3.5,0.0,0.0,3.41,3.29,0.0,0.0
Upper middle income,U30,4.6,3.36,4.0,3.79,0.0,0.0,3.41,3.82,0.0,0.0
Upper middle income,u37,4,2.88,3.38,3.5,4.0,0.0,3.41,3.46,3.68,0.0
Upper middle income,U30,5,3.04,3.4,3.5,0.0,0.0,3.41,3.41,0.0,0.0
Upper middle income,U25,6,2.81,3.1,3.5,3.5,0.0,3.41,3.23,3.56,0.0
Low income,U44,5.5,3.5,3.0,2.75,2.5,3.17,3.41,3.3,3.54,3.5
Upper middle income,U30,6,2.88,3.3,3.6,0.0,0.0,3.41,3.35,0.0,0.0
High income,U30,6.5,3.29,3.5,3.8,4.0,0.0,3.41,3.45,3.69,0.0
Lower middle income,U30,5,3.0,3.43,3.3,0.0,0.0,3.41,3.38,0.0,0.0
Lower middle income,U30,,2.5,3.38,3.63,4.0,0.0,3.41,3.44,3.57,0.0
High income,U44,5.7,1.66,3.4,3.5,3.63,0.0,3.41,3.43,3.5,0.0
Lower middle income,U30,4.5,3.0,2.38,3.0,3.75,0.0,3.41,2.82,3.42,0.0
Lower middle income,U30,4.2,2.51,3.0,2.96,0.0,0.0,3.41,3.2,0.0,0.0
Lower middle income,u37,6,3.5,3.38,3.75,4.0,0.0,3.41,3.43,3.58,0.0
Upper middle income,U25,4.3,2.82,3.05,3.0,2.9,0.0,3.41,3.21,3.44,0.0
Upper middle income,U30,6,3.5,3.25,3.29,0.0,0.0,3.41,3.31,0.0,0.0
Upper middle income,U30,5,3.15,3.79,4.0,0.0,0.0,3.41,3.63,0.0,0.0
Lower middle income,U30,5.8,2.75,3.46,3.54,3.75,0.0,3.41,3.47,3.52,0.0
Low income,U30,6,3.14,3.4,3.3,0.0,0.0,3.41,3.47,0.0,0.0
Lower middle income,U30,7,3.74,3.0,3.4,3.75,0.0,3.41,3.23,3.46,0.0
Lower middle income,u37,5.5,2.5,3.63,4.0,0.0,0.0,3.41,3.61,0.0,0.0
Upper middle income,U25,5,3.37,3.0,3.25,3.0,0.0,3.41,3.21,3.46,0.0
Lower middle income,u37,,2.75,3.6,3.71,3.67,4.0,3.41,3.54,3.56,3.5
Lower middle income,U44,,3.0,3.3,3.64,3.83,3.0,3.41,3.41,3.52,3.5
Lower middle income,u37,,2.5,3.5,3.93,3.75,3.5,3.41,3.49,3.54,3.5
Lower middle income,U30,6.2,4.0,3.7,3.8,3.5,0.0,3.41,3.56,3.7,0.0
Lower middle income,u37,6,2.5,3.8,3.67,0.0,0.0,3.41,3.64,0.0,0.0
Upper middle income,U30,5.8,3.41,3.88,3.38,0.0,0.0,3.41,3.78,0.0,0.0
Upper middle income,U25,5,2.9,3.54,3.75,4.0,0.0,3.41,3.46,3.79,0.0
Upper middle income,U30,5,3.23,3.25,3.63,3.5,3.5,3.41,3.34,3.56,3.5
Lower middle income,U30,6.5,4.0,3.57,3.54,0.0,0.0,3.41,3.49,0.0,0.0
Lower middle income,U30,5.3,3.5,3.38,3.75,4.0,0.0,3.41,3.45,3.65,0.0
Lower middle income,U30,4.8,3.0,3.0,3.0,3.13,4.0,3.41,3.21,3.43,3.5
Lower middle income,u37,6,4.0,3.17,3.13,4.0,3.0,3.41,3.28,3.46,3.5
Low income,U30,6,3.15,3.13,3.13,3.75,3.0,3.41,3.29,3.53,3.5
Low income,U30,6,3.34,3.0,3.25,3.5,4.0,3.41,3.23,3.55,3.5
Low income,U30,6.8,4.0,3.38,3.63,4.0,0.0,3.41,3.51,3.76,0.0
Lower middle income,u37,,2.36,2.25,3.13,2.75,3.5,3.41,3.18,3.42,3.5
Upper middle income,u37,,2.38,3.38,3.75,3.33,3.56,3.41,3.44,3.55,3.5
Lower middle income,u37,5.6,3.5,3.5,3.75,3.5,3.63,3.41,3.57,3.66,3.5
Lower middle income,u37,7.3,2.71,3.5,3.88,4.0,0.0,3.41,3.51,3.77,0.0
Lower middle income,u37,5.2,3.0,3.25,3.38,0.0,0.0,3.41,3.35,0.0,0.0
Lower middle income,G45,6,2.95,3.45,3.54,0.0,0.0,3.41,3.43,0.0,0.0
Lower middle income,U44,5.5,3.0,3.17,3.67,3.75,3.6,3.41,3.37,3.57,3.5
Lower middle income,u37,6.5,4.0,2.8,3.4,3.3,0.0,3.41,3.18,3.42,0.0
Lower middle income,U44,5.3,3.1,3.12,3.0,3.08,0.0,3.41,3.33,3.47,0.0
Lower middle income,u37,5.5,3.0,3.67,3.67,3.75,3.65,3.41,3.63,3.7,3.5
Lower middle income,U25,,3.69,2.75,3.0,3.5,0.0,3.41,3.18,3.5,0.0
Lower middle income,u37,6,3.5,4.0,3.5,4.0,3.93,3.41,3.78,3.72,3.5
Lower middle income,U44,6,3.0,3.83,3.75,4.0,3.93,3.41,3.72,3.74,3.5
Lower middle income,u37,6,3.0,3.17,3.58,3.25,3.7,3.41,3.31,3.45,3.5
Upper middle income,U30,7,3.17,3.25,3.75,3.5,0.0,3.41,3.38,3.56,0.0
Upper middle income,U30,5.5,3.41,3.68,3.75,0.0,0.0,3.41,3.63,0.0,0.0
Low income,u37,6.5,3.0,3.63,3.67,0.0,0.0,3.41,3.61,0.0,0.0
Lower middle income,U30,7,3.19,3.88,4.0,4.0,0.0,3.41,3.79,3.84,0.0
Upper middle income,U44,,2.5,3.25,3.63,3.83,2.94,3.41,3.39,3.57,3.5
Lower middle income,U30,5,3.5,3.38,3.88,4.0,0.0,3.41,3.4,3.54,0.0
Lower middle income,u37,6,3.0,2.86,3.0,4.0,0.0,3.41,3.18,3.42,0.0
Lower middle income,U30,6.3,3.6,3.63,3.88,4.0,0.0,3.41,3.58,3.76,0.0
Lower middle income,U30,6.5,3.5,3.4,3.77,0.0,0.0,3.41,3.39,0.0,0.0
Upper middle income,U25,5.4,3.81,3.0,3.13,3.5,0.0,3.41,3.23,3.5,0.0
Lower middle income,U30,6,2.58,3.0,3.5,0.0,0.0,3.41,3.2,0.0,0.0
Upper middle income,u37,5.2,3.84,3.7,3.8,4.0,0.0,3.41,3.65,3.7,0.0
Upper middle income,U30,5.4,3.08,3.3,3.63,2.5,0.0,3.41,3.39,3.6,0.0
Lower middle income,U30,4.9,3.0,3.25,3.07,3.0,0.0,3.41,3.28,3.43,0.0
Lower middle income,u37,5.7,2.77,3.25,3.38,3.5,0.0,3.41,3.35,3.45,0.0
Upper middle income,U30,4.5,3.6,3.63,3.75,0.0,0.0,3.41,3.62,0.0,0.0
Lower middle income,U30,6.3,4.0,4.0,3.83,4.0,0.0,3.41,3.85,3.97,0.0
Lower middle income,U30,5,3.07,3.21,3.25,0.0,0.0,3.41,3.24,0.0,0.0
Lower middle income,U30,,3.0,3.25,3.0,3.0,3.5,3.41,3.15,3.51,3.48
Upper middle income,U44,4.8,3.59,3.0,3.46,0.0,0.0,3.41,3.22,0.0,0.0
Lower middle income,U30,5.3,3.19,3.11,3.5,0.0,0.0,3.41,3.26,0.0,0.0
Low income,U30,5.8,3.5,3.75,3.38,4.0,0.0,3.41,3.72,3.63,0.0
Lower middle income,u37,5.3,3.5,3.0,3.13,3.5,0.0,3.41,3.21,3.47,0.0
Low income,U30,6.1,3.27,3.4,3.5,0.0,0.0,3.41,3.44,0.0,0.0
Lower middle income,u37,6,3.5,4.0,3.72,4.0,3.92,3.41,3.77,3.73,3.5
Lower middle income,U30,5.7,2.5,3.25,3.44,3.5,3.43,3.41,3.33,3.51,3.5
Upper middle income,U30,6,3.28,3.88,4.0,3.83,0.0,3.41,3.79,3.74,0.0
Lower middle income,U30,6,3.0,3.0,3.0,4.0,0.0,3.41,3.19,3.49,0.0
Lower middle income,U30,6,3.0,2.88,3.0,3.0,0.0,3.41,3.18,3.44,0.0
Lower middle income,U25,6,3.0,3.0,3.5,3.5,0.0,3.41,3.2,3.55,0.0
Lower middle income,U30,6,3.5,3.23,3.0,3.5,0.0,3.41,3.36,3.49,0.0
Lower middle income,U25,6,3.5,3.75,3.5,4.0,0.0,3.41,3.66,3.85,0.0
Lower middle income,U30,6,3.5,3.63,3.63,3.5,0.0,3.41,3.57,3.66,0.0
Upper middle income,U30,5,3.46,3.75,3.63,3.5,0.0,3.41,3.62,3.73,0.0
Lower middle income,u37,6,2.99,4.0,3.61,0.0,0.0,3.41,3.83,0.0,0.0
High income,U44,6,2.43,3.6,3.4,3.75,0.0,3.41,3.53,3.63,0.0
Low income,U30,7,3.15,3.5,3.86,3.67,0.0,3.41,3.6,3.71,0.0
Upper middle income,u37,6,3.5,3.25,3.38,2.5,0.0,3.41,3.33,3.46,0.0
Upper middle income,U30,6,2.35,3.17,2.83,3.7,3.13,3.41,3.34,3.45,3.5
Upper middle income,U30,6,3.02,3.13,3.5,3.5,0.0,3.41,3.26,3.48,0.0
Upper middle income,u37,6,3.06,3.5,3.92,3.75,0.0,3.41,3.51,3.54,0.0
