income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Lower middle income,U25,5.8,4.0,3.5,3.25,3.17,0.0,3.41,3.42,3.53,0.0
Upper middle income,U30,5.1,3.25,3.13,3.63,4.0,0.0,3.41,3.29,3.53,0.0
Upper middle income,U30,5,2.36,3.63,3.88,0.0,0.0,3.41,3.56,0.0,0.0
Upper middle income,U30,5.5,2.15,3.88,3.63,3.0,0.0,3.41,3.74,3.85,0.0
Upper middle income,U30,4.8,2.98,2.38,3.13,3.0,3.25,3.41,3.18,3.42,3.5
Upper middle income,U25,5.6,3.75,3.9,3.67,4.0,0.0,3.41,3.8,3.98,0.0
Lower middle income,U30,6.2,3.5,2.88,3.33,3.75,0.0,3.41,3.2,3.45,0.0
Lower middle income,U30,6.5,3.0,3.14,3.19,0.0,0.0,3.41,3.24,0.0,0.0
Upper middle income,U30,4,2.9,3.71,3.65,3.29,0.0,3.41,3.66,3.55,0.0
Upper middle income,G45,5.6,2.67,3.57,3.86,3.33,0.0,3.41,3.59,3.53,0.0
Upper middle income,U30,5.8,3.68,3.86,3.86,0.0,0.0,3.41,3.7,0.0,0.0
Lower middle income,u37,6,4.0,3.63,3.88,3.75,0.0,3.41,3.56,3.62,0.0
Upper middle income,U30,5.7,3.74,3.5,4.0,4.0,0.0,3.41,3.53,3.71,0.0
Low income,U30,6,3.5,3.38,3.5,0.0,0.0,3.41,3.48,0.0,0.0
Upper middle income,u37,5.4,3.03,3.75,3.88,0.0,0.0,3.41,3.68,0.0,0.0
Low income,u37,6,3.5,4.0,3.91,0.0,0.0,3.41,3.88,0.0,0.0
Low income,U30,,3.5,3.85,3.73,4.0,0.0,3.41,3.8,3.75,0.0
Lower middle income,u37,,3.5,3.12,3.12,0.0,0.0,3.41,3.27,0.0,0.0
Lower middle income,U30,,4.0,3.5,3.5,3.67,3.5,3.41,3.55,3.53,3.41
Lower middle income,u37,5.8,3.04,3.25,3.5,4.0,0.0,3.41,3.34,3.49,0.0
Lower middle income,U30,5.6,2.99,3.38,3.63,4.0,0.0,3.41,3.46,3.67,0.0
Lower middle income,U44,2.5,3.5,3.73,3.88,4.0,0.0,3.41,3.66,3.76,0.0
Upper middle income,U30,4.9,3.6,3.63,3.5,0.0,0.0,3.41,3.56,0.0,0.0
Upper middle income,U30,4.5,2.88,3.21,3.14,3.83,0.0,3.41,3.32,3.48,0.0
Upper middle income,u37,4.8,2.76,3.15,3.75,4.0,4.0,3.41,3.27,3.6,3.42
Lower middle income,u37,5.6,2.57,3.6,3.73,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,U30,6.5,4.0,2.63,3.0,4.0,0.0,3.41,3.18,3.42,0.0
Lower middle income,U30,5.6,3.14,3.25,3.63,4.0,0.0,3.41,3.36,3.58,0.0
Lower middle income,U30,5.8,3.06,3.63,3.5,4.0,0.0,3.41,3.6,3.66,0.0
Lower middle income,U30,5.3,2.39,3.38,3.33,3.5,0.0,3.41,3.45,3.56,0.0
Upper middle income,U30,4.4,2.76,3.0,3.13,0.0,0.0,3.41,3.21,0.0,0.0
Upper middle income,u37,5.3,3.61,3.65,3.12,0.0,0.0,3.41,3.63,0.0,0.0
Low income,u37,7,3.5,3.93,3.56,0.0,0.0,3.41,3.89,0.0,0.0
Lower middle income,U30,5.2,3.26,2.71,3.0,3.33,0.0,3.41,3.18,3.42,0.0
Lower middle income,u37,6,3.5,3.21,3.57,3.67,0.0,3.41,3.32,3.44,0.0
Lower middle income,U44,6.5,4.0,3.88,3.88,0.0,0.0,3.41,3.77,0.0,0.0
Upper middle income,U30,4.9,3.57,3.63,3.63,0.0,0.0,3.41,3.56,0.0,0.0
Lower middle income,u37,5,3.1,3.75,3.63,4.0,0.0,3.41,3.6,3.64,0.0
Low income,U30,6.5,4.0,4.0,4.0,4.0,0.0,3.41,3.91,4.04,0.0
Lower middle income,U30,4.9,3.07,3.45,4.0,4.0,0.0,3.41,3.42,3.65,0.0
